Statement of Account

Account Name:,MR ACCOUNT HOLDER
Account Number:,XXXXXXXX8891
Statement Period:,01/09/2025 to 31/07/2026

Txn Date,Value Date,Narration,Chq/Ref No,Withdrawal Amt.,Deposit Amt.,Closing Balance
05/11/2025,05/11/2025,NEFT-TECHCADD SOLUTIONS SALARY-797852826716,190183703839,,"19,640.00","30,621.00"
05/11/2025,05/11/2025,POS 4512XXXXXXXX8891 PVR CINEMAS CHANDIGARH,284389798626,915.00,,"29,706.00"
07/11/2025,07/11/2025,UPI/DR/636222101030/LOCAL KIRANA STORE/PNB/kirana@ybl/Pay,307572517089,225.00,,"29,481.00"
05/11/2025,05/11/2025,POS 4512XXXXXXXX8891 PVR CINEMAS CHANDIGARH,818056307208,915.00,,"28,566.00"
11/11/2025,11/11/2025,POS 4512XXXXXXXX8891 PVR CINEMAS CHANDIGARH,679545198312,951.00,,"27,615.00"
12/11/2025,12/11/2025,UPI/CR/277986137137/REFUND AMAZON/HDFC/amazon@apl/Return,614306478560,,750.00,"28,365.00"
13/11/2025,13/11/2025,UPI/DR/808577267371/ZOMATO ONLINE/AXIS/zomato@ybl/Order,439439398733,720.00,,"27,645.00"
15/11/2025,15/11/2025,UPI/DR/128405785248/OLA CABS/AXIS/ola@ybl/Trip,897422654277,183.00,,"27,462.00"
15/11/2025,15/11/2025,NEFT-AIRTEL BROADBAND BILL-502018727951,586755934305,"1,477.00",,"25,985.00"
15/11/2025,15/11/2025,UPI/DR/348128583958/PHARMEASY/HDFC/pharmeasy@apl/Order,216691087223,542.00,,"25,443.00"
19/11/2025,19/11/2025,UPI/DR/191533708734/PAYTM QR/HDFC/merchant@paytm/Payment,185911675595,541.00,,"24,902.00"
20/11/2025,20/11/2025,UPI/DR/260467504949/ZOMATO ONLINE/AXIS/zomato@ybl/Order,187101105380,390.00,,"24,512.00"
20/11/2025,20/11/2025,POS 4512XXXXXXXX8891 MYNTRA DESIGNS BENGALURU,561071039353,"1,518.00",,"22,994.00"
23/11/2025,23/11/2025,UPI/DR/264824650058/BLINKIT/HDFC/blinkit@ybl/Groceries,714711646340,625.00,,"22,369.00"
26/11/2025,26/11/2025,NEFT-AIRTEL BROADBAND BILL-591104947063,937365168739,697.00,,"21,672.00"
27/11/2025,27/11/2025,UPI/DR/913220428670/OLA CABS/AXIS/ola@ybl/Trip,517502614390,184.00,,"21,488.00"
29/11/2025,29/11/2025,UPI/DR/616596169019/ZOMATO ONLINE/AXIS/zomato@ybl/Order,943345300851,208.00,,"21,280.00"
30/11/2025,30/11/2025,NEFT-AIRTEL BROADBAND BILL-279066020342,442831048215,989.00,,"20,291.00"
30/11/2025,30/11/2025,UPI/DR/913469745206/AMAZON PAY INDIA/HDFC/amazon@apl/Order,983998793078,"2,261.00",,"18,030.00"
01/12/2025,01/12/2025,UPI/DR/668057164296/ZEPTO MARKETPLACE/SBI/zepto@apl/Order,196346636280,862.00,,"17,168.00"
04/12/2025,04/12/2025,IRCTC RAIL TICKET BOOKING REF 749189249020,873305671919,610.00,,"16,558.00"
04/12/2025,04/12/2025,UPI/DR/816084306780/UBER INDIA/HDFC/uber@icici/Ride,316781877432,111.00,,"16,447.00"
05/12/2025,05/12/2025,NEFT-TECHCADD SOLUTIONS SALARY-503617468490,694306282969,,"18,329.00","34,776.00"
05/12/2025,05/12/2025,NEFT-IKGPTU COLLEGE FEE-915657312445,593575521732,"12,295.00",,"22,481.00"
06/12/2025,06/12/2025,UPI/DR/274911678402/UDEMY ONLINE/HDFC/udemy@ybl/Course,453016359442,"3,493.00",,"18,988.00"
08/12/2025,08/12/2025,NEFT-IKGPTU COLLEGE FEE-265492928086,909018288590,"24,438.00",,"-5,450.00"
10/12/2025,10/12/2025,UPI/DR/651014096081/ZOMATO ONLINE/AXIS/zomato@ybl/Order,623543599993,437.00,,"-5,887.00"
15/12/2025,15/12/2025,UPI/DR/701965060207/LOCAL KIRANA STORE/PNB/kirana@ybl/Pay,791619795100,773.00,,"-6,660.00"
21/12/2025,21/12/2025,UPI/CR/470212034013/REFUND AMAZON/HDFC/amazon@apl/Return,372347320078,,"1,137.00","-5,523.00"
22/12/2025,22/12/2025,UPI/DR/384867954946/JIO RECHARGE/RELIANCE/jio@ybl/Prepaid,790681527156,981.00,,"-6,504.00"
24/12/2025,24/12/2025,UPI/DR/231686212665/APOLLO PHARMACY/ICICI/apollo@ybl/Medicines,545674445486,"1,757.00",,"-8,261.00"
24/12/2025,24/12/2025,UPI/DR/770642712057/PAYTM QR/HDFC/merchant@paytm/Payment,512491448637,875.00,,"-9,136.00"
25/12/2025,25/12/2025,UPI/DR/995858661470/APOLLO PHARMACY/ICICI/apollo@ybl/Medicines,606955839386,"1,058.00",,"-10,194.00"
27/12/2025,27/12/2025,UPI/DR/608506254334/ZEPTO MARKETPLACE/SBI/zepto@apl/Order,980737074476,970.00,,"-11,164.00"
27/12/2025,27/12/2025,POS 4512XXXXXXXX8891 DMART PATIALA,168376208892,"2,756.00",,"-13,920.00"
28/12/2025,28/12/2025,NEFT-CULT FITNESS GYM MEMBERSHIP-624842080417,311557272634,"2,456.00",,"-16,376.00"
29/12/2025,29/12/2025,POS 4512XXXXXXXX8891 HPCL PETROL PUMP RAJPURA,171929049132,"2,277.00",,"-18,653.00"
30/12/2025,30/12/2025,UPI/DR/335681635341/HOUSE RENT MARCH/SBI/landlord@oksbi/Rent,769579181433,"7,595.00",,"-26,248.00"
01/01/2026,01/01/2026,UPI/DR/623994206260/LOCAL KIRANA STORE/PNB/kirana@ybl/Pay,496593283794,739.00,,"-26,987.00"
03/01/2026,03/01/2026,POS 4512XXXXXXXX8891 HPCL PETROL PUMP RAJPURA,466241802743,"2,992.00",,"-29,979.00"
04/01/2026,04/01/2026,NEFT-TECHCADD SOLUTIONS SALARY-660594192153,149894542686,,"18,076.00","-11,903.00"
04/01/2026,04/01/2026,UPI/DR/848724392165/MOTHER DAIRY/PNB/dairy@ibl/Milk,921464775743,202.00,,"-12,105.00"
07/01/2026,07/01/2026,UPI/DR/780638469430/OLA CABS/AXIS/ola@ybl/Trip,858992171172,256.00,,"-12,361.00"
08/01/2026,08/01/2026,UPI/DR/834395905851/UDEMY ONLINE/HDFC/udemy@ybl/Course,427601337750,"2,444.00",,"-14,805.00"
10/01/2026,10/01/2026,UPI/DR/674233768315/LOCAL KIRANA STORE/PNB/kirana@ybl/Pay,890290181436,619.00,,"-15,424.00"
11/01/2026,11/01/2026,UPI/DR/946289800161/JIO RECHARGE/RELIANCE/jio@ybl/Prepaid,756080531206,394.00,,"-15,818.00"
11/01/2026,11/01/2026,UPI/DR/660288558851/AMAZON PAY INDIA/HDFC/amazon@apl/Order,988699426994,"5,974.00",,"-21,792.00"
11/01/2026,11/01/2026,UPI/DR/254115593506/PHARMEASY/HDFC/pharmeasy@apl/Order,172770705279,492.00,,"-22,284.00"
13/01/2026,13/01/2026,UPI/DR/767891265030/BLINKIT/HDFC/blinkit@ybl/Groceries,216968564931,"1,107.00",,"-23,391.00"
15/01/2026,15/01/2026,NEFT-IKGPTU COLLEGE FEE-445496266419,888019936610,"11,985.00",,"-35,376.00"
16/01/2026,16/01/2026,UPI/DR/332242285293/BLINKIT/HDFC/blinkit@ybl/Groceries,615210436930,692.00,,"-36,068.00"
17/01/2026,17/01/2026,POS 4512XXXXXXXX8891 DMART PATIALA,954500539345,"2,679.00",,"-38,747.00"
20/01/2026,20/01/2026,NEFT-AIRTEL BROADBAND BILL-252245974461,969243462171,"1,443.00",,"-40,190.00"
16/01/2026,16/01/2026,UPI/DR/332242285293/BLINKIT/HDFC/blinkit@ybl/Groceries,995199767566,692.00,,"-40,882.00"
25/01/2026,25/01/2026,POS 4512XXXXXXXX8891 MYNTRA DESIGNS BENGALURU,243853374806,"1,361.00",,"-42,243.00"
26/01/2026,26/01/2026,UPI/DR/207170189186/PAYTM QR/HDFC/merchant@paytm/Payment,649447003254,274.00,,"-42,517.00"
31/01/2026,31/01/2026,UPI/DR/162535995743/LOCAL KIRANA STORE/PNB/kirana@ybl/Pay,109375652626,208.00,,"-42,725.00"
31/01/2026,31/01/2026,UPI/DR/270840624626/NETFLIX INDIA/HDFC/netflix@ybl/Subscription,433884263678,324.00,,"-43,049.00"
03/02/2026,03/02/2026,NEFT-TECHCADD SOLUTIONS SALARY-561017993421,863742918301,,"18,801.00","-24,248.00"
06/02/2026,06/02/2026,UPI/DR/567377384531/PSPCL ELECTRICITY/PNB/pspcl@sbi/Bill,266527948265,"3,895.00",,"-28,143.00"
06/02/2026,06/02/2026,NEFT-AIRTEL BROADBAND BILL-729276199720,360306174818,914.00,,"-29,057.00"
10/02/2026,10/02/2026,UPI/DR/300914264127/ZEPTO MARKETPLACE/SBI/zepto@apl/Order,603883625209,421.00,,"-29,478.00"
10/02/2026,10/02/2026,UPI/DR/297784874857/MOTHER DAIRY/PNB/dairy@ibl/Milk,960547629362,101.00,,"-29,579.00"
12/02/2026,12/02/2026,NEFT-CRED CLUB RENT PAYMENT-405326915267,756194761246,"8,737.00",,"-38,316.00"
13/02/2026,13/02/2026,POS 4512XXXXXXXX8891 HPCL PETROL PUMP RAJPURA,662980082048,"1,608.00",,"-39,924.00"
15/02/2026,15/02/2026,POS 4512XXXXXXXX8891 CAFE COFFEE DAY   PATIALA,530344177289,183.00,,"-40,107.00"
16/02/2026,16/02/2026,UPI/DR/840882239092/FLIPKART INTERNET/AXIS/flipkart@ybl/Shopping,275032311172,"2,775.00",,"-42,882.00"
18/02/2026,18/02/2026,UPI/DR/365040442063/UBER INDIA/HDFC/uber@icici/Ride,547738776477,134.00,,"-43,016.00"
19/02/2026,19/02/2026,UPI/DR/395989503898/SWIGGY/HDFC/swiggy@icici/Payment,813242597367,497.00,,"-43,513.00"
21/02/2026,21/02/2026,POS 4512XXXXXXXX8891 PVR CINEMAS CHANDIGARH,628426420964,829.00,,"-44,342.00"
21/02/2026,21/02/2026,NEFT-AIRTEL BROADBAND BILL-344195642578,699373830049,584.00,,"-44,926.00"
22/02/2026,22/02/2026,UPI/DR/980848683409/PSPCL ELECTRICITY/PNB/pspcl@sbi/Bill,277492780621,868.00,,"-45,794.00"
22/02/2026,22/02/2026,UPI/DR/681130573169/AMAZON PAY INDIA/HDFC/amazon@apl/Order,572361601728,"2,855.00",,"-48,649.00"
24/02/2026,24/02/2026,UPI/DR/520984456519/PAYTM QR/HDFC/merchant@paytm/Payment,215463644326,501.00,,"-49,150.00"
27/02/2026,27/02/2026,UPI/CR/118751623277/REFUND AMAZON/HDFC/amazon@apl/Return,181552082381,,"1,684.00","-47,466.00"
27/02/2026,27/02/2026,UPI/DR/215433225747/BLINKIT/HDFC/blinkit@ybl/Groceries,784037499615,431.00,,"-47,897.00"
01/03/2026,01/03/2026,UPI/DR/598738807466/BLINKIT/HDFC/blinkit@ybl/Groceries,327994398715,741.00,,"-48,638.00"
04/03/2026,04/03/2026,UPI/DR/518052071053/APOLLO PHARMACY/ICICI/apollo@ybl/Medicines,559975632492,494.00,,"-49,132.00"
05/03/2026,05/03/2026,NEFT-TECHCADD SOLUTIONS SALARY-379149247574,290898252949,,"18,151.00","-30,981.00"
05/03/2026,05/03/2026,UPI/DR/123166961875/UDEMY ONLINE/HDFC/udemy@ybl/Course,247034753533,"2,852.00",,"-33,833.00"
06/03/2026,06/03/2026,UPI/DR/914435098991/UBER INDIA/HDFC/uber@icici/Ride,604301490511,104.00,,"-33,937.00"
09/03/2026,09/03/2026,NEFT-AIRTEL BROADBAND BILL-190432259082,360593312241,940.00,,"-34,877.00"
11/03/2026,11/03/2026,UPI/DR/316220269975/NETFLIX INDIA/HDFC/netflix@ybl/Subscription,691623056492,419.00,,"-35,296.00"
12/03/2026,12/03/2026,POS 4512XXXXXXXX8891 HPCL PETROL PUMP RAJPURA,954041306381,"1,145.00",,"-36,441.00"
12/03/2026,12/03/2026,UPI/DR/819418893386/ZEPTO MARKETPLACE/SBI/zepto@apl/Order,936077340028,636.00,,"-37,077.00"
13/03/2026,13/03/2026,UPI/DR/602705467194/JIO RECHARGE/RELIANCE/jio@ybl/Prepaid,955218890495,908.00,,"-37,985.00"
14/03/2026,14/03/2026,NEFT-AIRTEL BROADBAND BILL-454536980531,425734061425,871.00,,"-38,856.00"
15/03/2026,15/03/2026,UPI/DR/160051725654/UBER INDIA/HDFC/uber@icici/Ride,406204462739,504.00,,"-39,360.00"
20/03/2026,20/03/2026,UPI/DR/107628884463/AMAZON PAY INDIA/HDFC/amazon@apl/Order,394492525276,"2,333.00",,"-41,693.00"
22/03/2026,22/03/2026,UPI/CR/368327053776/REFUND AMAZON/HDFC/amazon@apl/Return,380774772664,,"2,131.00","-39,562.00"
24/03/2026,24/03/2026,UPI/DR/191194222704/NETFLIX INDIA/HDFC/netflix@ybl/Subscription,386637817013,510.00,,"-40,072.00"
25/03/2026,25/03/2026,NEFT-CULT FITNESS GYM MEMBERSHIP-413407757840,581891852086,"2,035.00",,"-42,107.00"
30/03/2026,30/03/2026,POS 4512XXXXXXXX8891 DMART PATIALA,302926162922,"3,296.00",,"-45,403.00"
30/03/2026,30/03/2026,NEFT-CRED CLUB RENT PAYMENT-533313778590,358751766316,"7,472.00",,"-52,875.00"
30/03/2026,30/03/2026,UPI/DR/255004310561/ZEPTO MARKETPLACE/SBI/zepto@apl/Order,409896159136,420.00,,"-53,295.00"
01/04/2026,01/04/2026,UPI/DR/337552699486/JIO RECHARGE/RELIANCE/jio@ybl/Prepaid,308642127159,234.00,,"-53,529.00"
03/04/2026,03/04/2026,POS 4512XXXXXXXX8891 MYNTRA DESIGNS BENGALURU,170121087425,"1,048.00",,"-54,577.00"
04/04/2026,04/04/2026,NEFT-TECHCADD SOLUTIONS SALARY-270727272009,376579012916,,"20,693.00","-33,884.00"
05/04/2026,05/04/2026,NEFT-CRED CLUB RENT PAYMENT-416469066999,370550507196,"6,133.00",,"-40,017.00"
05/04/2026,05/04/2026,UPI/DR/261489504480/DOMINOS PIZZA/ICICI/dominos@okhdfcbank/Pay,677704559867,453.00,,"-40,470.00"
07/04/2026,07/04/2026,UPI/DR/628334532269/NETFLIX INDIA/HDFC/netflix@ybl/Subscription,813958344723,780.00,,"-41,250.00"
11/04/2026,11/04/2026,UPI/DR/598230441268/JIO RECHARGE/RELIANCE/jio@ybl/Prepaid,210846418179,700.00,,"-41,950.00"
11/04/2026,11/04/2026,UPI/DR/185079946846/BLINKIT/HDFC/blinkit@ybl/Groceries,609612157106,"1,170.00",,"-43,120.00"
15/04/2026,15/04/2026,UPI/DR/597511063747/PHARMEASY/HDFC/pharmeasy@apl/Order,142910827795,414.00,,"-43,534.00"
21/04/2026,21/04/2026,UPI/DR/850378830724/ZOMATO ONLINE/AXIS/zomato@ybl/Order,104734481719,882.00,,"-44,416.00"
23/04/2026,23/04/2026,POS 4512XXXXXXXX8891 CAFE COFFEE DAY   PATIALA,356921089803,99.00,,"-44,515.00"
23/04/2026,23/04/2026,POS 4512XXXXXXXX8891 MYNTRA DESIGNS BENGALURU,593236433825,"3,730.00",,"-48,245.00"
23/04/2026,23/04/2026,POS 4512XXXXXXXX8891 PVR CINEMAS CHANDIGARH,511949106234,560.00,,"-48,805.00"
26/04/2026,26/04/2026,NEFT-CULT FITNESS GYM MEMBERSHIP-645395258520,354664405573,"1,666.00",,"-50,471.00"
26/04/2026,26/04/2026,UPI/DR/807031963604/OLA CABS/AXIS/ola@ybl/Trip,152051639094,370.00,,"-50,841.00"
26/04/2026,26/04/2026,NEFT-AIRTEL BROADBAND BILL-326587190492,757944206901,739.00,,"-51,580.00"
28/04/2026,28/04/2026,UPI/DR/252495137586/HOUSE RENT MARCH/SBI/landlord@oksbi/Rent,312958195649,"11,743.00",,"-63,323.00"
29/04/2026,29/04/2026,UPI/DR/889566556447/OLA CABS/AXIS/ola@ybl/Trip,185599444448,124.00,,"-63,447.00"
01/05/2026,01/05/2026,UPI/DR/201082913532/BLINKIT/HDFC/blinkit@ybl/Groceries,664239461355,"1,230.00",,"-64,677.00"
04/05/2026,04/05/2026,NEFT-TECHCADD SOLUTIONS SALARY-632836481763,296993516871,,"19,100.00","-45,577.00"
05/05/2026,05/05/2026,UPI/DR/623712224590/AMAZON PAY INDIA/HDFC/amazon@apl/Order,763353892902,"2,853.00",,"-48,430.00"
05/05/2026,05/05/2026,NEFT-AIRTEL BROADBAND BILL-526889252290,951519993715,880.00,,"-49,310.00"
09/05/2026,09/05/2026,POS 4512XXXXXXXX8891 DMART PATIALA,833484963980,"3,435.00",,"-52,745.00"
15/05/2026,15/05/2026,ATM CASH WDL 4512XXXXXXXX8891 PATIALA,108356726821,"2,700.00",,"-55,445.00"
15/05/2026,15/05/2026,NEFT-CRED CLUB RENT PAYMENT-271905354805,800533991158,"6,982.00",,"-62,427.00"
16/05/2026,16/05/2026,UPI/DR/513794157995/NETFLIX INDIA/HDFC/netflix@ybl/Subscription,879949512732,343.00,,"-62,770.00"
16/05/2026,16/05/2026,UPI/DR/403893230232/BLINKIT/HDFC/blinkit@ybl/Groceries,484914745646,938.00,,"-63,708.00"
17/05/2026,17/05/2026,UPI/DR/997976576260/ZOMATO ONLINE/AXIS/zomato@ybl/Order,139589485640,476.00,,"-64,184.00"
19/05/2026,19/05/2026,LIC INSURANCE PREMIUM AUTO DEBIT 608032541089,475245745942,"4,103.00",,"-68,287.00"
22/05/2026,22/05/2026,UPI/DR/795012539902/PHARMEASY/HDFC/pharmeasy@apl/Order,147851817581,471.00,,"-68,758.00"
24/05/2026,24/05/2026,UPI/DR/544317632236/SWIGGY/HDFC/swiggy@icici/Payment,139749551558,653.00,,"-69,411.00"
25/05/2026,25/05/2026,UPI/DR/354971543249/PSPCL ELECTRICITY/PNB/pspcl@sbi/Bill,905733388124,"1,261.00",,"-70,672.00"
26/05/2026,26/05/2026,UPI/DR/390013653941/ZEPTO MARKETPLACE/SBI/zepto@apl/Order,994226973404,295.00,,"-70,967.00"
27/05/2026,27/05/2026,UPI/DR/705133674493/PAYTM QR/HDFC/merchant@paytm/Payment,997697040891,527.00,,"-71,494.00"
29/05/2026,29/05/2026,UPI/DR/101423027307/SPOTIFY INDIA/AXIS/spotify@apl/Music,548082123530,134.00,,"-71,628.00"
29/05/2026,29/05/2026,UPI/DR/230559530666/SPOTIFY INDIA/AXIS/spotify@apl/Music,510935254212,162.00,,"-71,790.00"
31/05/2026,31/05/2026,UPI/DR/421005459821/AMAZON PAY INDIA/HDFC/amazon@apl/Order,779400024910,396.00,,"-72,186.00"
03/06/2026,03/06/2026,NEFT-TECHCADD SOLUTIONS SALARY-155208605993,182945249088,,"19,149.00","-53,037.00"
07/06/2026,07/06/2026,IRCTC RAIL TICKET BOOKING REF 327956121939,135233368098,"1,667.00",,"-54,704.00"
09/06/2026,09/06/2026,NEFT-CRED CLUB RENT PAYMENT-597182183759,644581585891,"7,508.00",,"-62,212.00"
10/06/2026,10/06/2026,LIC INSURANCE PREMIUM AUTO DEBIT 914922939374,630634812035,"2,419.00",,"-64,631.00"
12/06/2026,12/06/2026,UPI/DR/201171708835/ZEPTO MARKETPLACE/SBI/zepto@apl/Order,546948345997,328.00,,"-64,959.00"
12/06/2026,12/06/2026,NEFT-CULT FITNESS GYM MEMBERSHIP-167654801623,972313818229,"1,552.00",,"-66,511.00"
13/06/2026,13/06/2026,UPI/DR/990167867562/SPOTIFY INDIA/AXIS/spotify@apl/Music,827547259464,149.00,,"-66,660.00"
17/06/2026,17/06/2026,UPI/DR/705275898554/UBER INDIA/HDFC/uber@icici/Ride,269866547591,383.00,,"-67,043.00"
17/06/2026,17/06/2026,UPI/DR/475443993457/UBER INDIA/HDFC/uber@icici/Ride,686860817810,264.00,,"-67,307.00"
18/06/2026,18/06/2026,UPI/DR/307513927802/PSPCL ELECTRICITY/PNB/pspcl@sbi/Bill,817651035870,"2,586.00",,"-69,893.00"
19/06/2026,19/06/2026,UPI/DR/891147732615/UDEMY ONLINE/HDFC/udemy@ybl/Course,534494737158,"2,718.00",,"-72,611.00"
19/06/2026,19/06/2026,UPI/DR/367114354549/HOUSE RENT MARCH/SBI/landlord@oksbi/Rent,399339488972,"7,143.00",,"-79,754.00"
22/06/2026,22/06/2026,NEFT-AIRTEL BROADBAND BILL-431737540268,831361209672,914.00,,"-80,668.00"
23/06/2026,23/06/2026,UPI/DR/230542815593/LOCAL KIRANA STORE/PNB/kirana@ybl/Pay,556587647104,670.00,,"-81,338.00"
24/06/2026,24/06/2026,INT.CR SAVINGS INTEREST PAID 267227085219,159928489758,,167.00,"-81,171.00"
25/06/2026,25/06/2026,UPI/DR/595685981024/ZEPTO MARKETPLACE/SBI/zepto@apl/Order,917385370309,200.00,,"-81,371.00"
25/06/2026,25/06/2026,UPI/DR/554710831171/AMAZON PAY INDIA/HDFC/amazon@apl/Order,556800617183,464.00,,"-81,835.00"
25/06/2026,25/06/2026,NEFT-CULT FITNESS GYM MEMBERSHIP-329884551729,118968488499,"1,846.00",,"-83,681.00"
30/06/2026,30/06/2026,UPI/DR/989182832906/PHARMEASY/HDFC/pharmeasy@apl/Order,945525499910,"1,076.00",,"-84,757.00"
03/07/2026,03/07/2026,NEFT-TECHCADD SOLUTIONS SALARY-407082198367,984748747494,,"20,352.00","-64,405.00"
06/07/2026,06/07/2026,UPI/DR/563994952711/NETFLIX INDIA/HDFC/netflix@ybl/Subscription,805937065638,221.00,,"-64,626.00"
06/07/2026,06/07/2026,POS 4512XXXXXXXX8891 DMART PATIALA,530343703971,"1,516.00",,"-66,142.00"
09/07/2026,09/07/2026,UPI/DR/808831059103/SWIGGY/HDFC/swiggy@icici/Payment,545508503838,278.00,,"-66,420.00"
10/07/2026,10/07/2026,UPI/DR/374434623937/FLIPKART INTERNET/AXIS/flipkart@ybl/Shopping,576766609656,"1,158.00",,"-67,578.00"
10/07/2026,10/07/2026,UPI/DR/968543675613/AMAZON PAY INDIA/HDFC/amazon@apl/Order,275671165720,"3,479.00",,"-71,057.00"
15/07/2026,15/07/2026,UPI/DR/815991035556/JIO RECHARGE/RELIANCE/jio@ybl/Prepaid,226374064610,228.00,,"-71,285.00"
17/07/2026,17/07/2026,UPI/DR/177310178809/LOCAL KIRANA STORE/PNB/kirana@ybl/Pay,202307704062,701.00,,"-71,986.00"
17/07/2026,17/07/2026,UPI/DR/359958383325/SPOTIFY INDIA/AXIS/spotify@apl/Music,733104884163,150.00,,"-72,136.00"
